,ID,MAASQ1_1_6,MAASQ2_1_6,MAASQ3_1_6,MAASQ4_1_6,MAASQ5_1_6,MAASQ6_1_6,MAASQ7_1_6,MAASQ8_1_6,MAASQ9_1_6,MAASQ10_1_6,MAASQ11_1_6,MAASQ12_1_6,MAASQ13_1_6,MAASQ14_1_6,MAASQ15_1_6,SPANEQ1_1_5,SPANEQ2_1_5,SPANEQ3_1_5,SPANEQ4_1_5,SPANEQ5_1_5,SPANEQ6_1_5,SPANEQ7_1_5,SPANEQ8_1_5,SPANEQ9_1_5,SPANEQ10_1_5,SPANEQ11_1_5,SPANEQ12_1_5,PWBQ1_1_7,PWBQ2_1_7,PWBQ3_1_7,PWBQ4_1_7,PWBQ5_1_7,PWBQ6_1_7,PWBQ7_1_7,PWBQ8_1_7,PSTQ1_0_1,PSTQ2_0_1,PSTQ3_0_1,PSTQ4_0_1,PSTQ5_0_1,PSTQ6_0_1,PSTQ7_0_1,PSTQ8_0_1,PSTQ9_0_1,PSTQ10_0_1,PSTQ11_0_1,PSTQ12_0_1,PSTQ13_0_1,PSTQ14_0_1,PSTQ15_0_1,PSTQ16_0_1,PSTQ17_0_1,PSTQ18_0_1,PSTQ19_0_1,PSTQ20_0_1,PSTQ21_0_1,PSTQ22_0_1,SEQ1_1_4,SEQ2_1_4,SEQ3_1_4,SEQ4_1_4,SEQ5_1_4,SEQ6_1_4,SEQ7_1_4,SEQ8_1_4,SEQ9_1_4,SEQ10_1_4,PPHQ1_1_5,PPHQ2_1_5,PPHQ3_1_5,PPHQ4_1_5,PPHQ5_1_5,PPHQ6_1_5,PPHQ7_1_5,PPRQ1_1_10,PPRQ2_1_10,PPRQ3_1_10,PPOQ1_1_7,Age,Gender_0_1,Occupation_0_1,Living_1_4,t,Experiment_1_2
41,44,Somewhat infrequently,Very infrequently,Very frequently,Very frequently,Almost never,Somewhat infrequently,Almost always,Almost always,Almost always,Very infrequently,Very frequently,Very infrequently,Very frequently,Very frequently,Very frequently,Often,Rarely,Rarely,Rarely,Very rarely or never,Very rarely or never,Sometimes,Often,Rarely,Very rarely or never,Rarely,Rarely,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Mixed or neither agree nor disagree,Disagree,Slightly agree,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Rather true,Exactly true,Exactly true,Exactly true,Exactly true,Exactly true,Hardly true,Rather true,Exactly true,Exactly true,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Most of the time,Most of the time,5,10,1,You were a lot worse than other workers,23,2,1,4,0,1
42,45,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Very frequently,Very frequently,Almost always,Somewhat frequently,Somewhat infrequently,Very infrequently,Somewhat frequently,Somewhat frequently,Almost always,Very frequently,Somewhat frequently,Very frequently,Sometimes,Often,Sometimes,Very often or always,Often,Sometimes,Sometimes,Very often or always,Often,Sometimes,Often,Sometimes,Slightly agree,Slightly agree,Agree,Slightly agree,Slightly agree,Slightly agree,Agree,Slightly agree,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Rather true,Rather true,Hardly true,Rather true,Exactly true,Rather true,Rather true,Exactly true,Exactly true,Exactly true,Most of the time,A little of the time,A little of the time,Some of the time,A little of the time,A little of the time,None of the time,8,8,8,You were a little better than other workers,44,1,2,4,0,1
43,48,Somewhat frequently,Somewhat infrequently,Somewhat frequently,Very infrequently,Very frequently,Very infrequently,Very infrequently,Somewhat frequently,Somewhat infrequently,Somewhat infrequently,Very frequently,Very infrequently,Very frequently,Very frequently,Somewhat frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Slightly disagree,Slightly agree,Slightly disagree,Mixed or neither agree nor disagree,Agree,Slightly agree,Agree,Agree,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Rather true,Rather true,Hardly true,Hardly true,Hardly true,Hardly true,Hardly true,Rather true,Rather true,Hardly true,A little of the time,Most of the time,A little of the time,Most of the time,Most of the time,Most of the time,A little of the time,8,5,5,You were somewhat worse than other workers,32,1,2,4,0,1
44,48,Very infrequently,Very infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Very infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Very infrequently,Somewhat infrequently,Somewhat infrequently,Very infrequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree,Agree,Slightly agree,Agree,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Rather true,Exactly true,Exactly true,Hardly true,Hardly true,Rather true,Rather true,Rather true,Hardly true,Rather true,A little of the time,Most of the time,Some of the time,Most of the time,Most of the time,Most of the time,A little of the time,7,4,4,You were a little worse than other workers,32,1,2,4,1,1
45,49,Somewhat infrequently,Somewhat frequently,Very infrequently,Somewhat infrequently,Very infrequently,Almost always,Almost never,Very frequently,Almost never,Almost never,Very frequently,Almost never,Very infrequently,Somewhat infrequently,Almost never,Rarely,Very rarely or never,Sometimes,Very rarely or never,Rarely,Very rarely or never,Very rarely or never,Very rarely or never,Very rarely or never,Very rarely or never,Very rarely or never,Very rarely or never,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Mixed or neither agree nor disagree,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Exactly true,Exactly true,Exactly true,Exactly true,Exactly true,Exactly true,Exactly true,Exactly true,Exactly true,Exactly true,Some of the time,Some of the time,Most of the time,Most of the time,Most of the time,Most of the time,Some of the time,8,8,9,You were somewhat better than other workers,27,2,1,1,0,1
46,49,Almost never,Almost never,Almost never,Somewhat infrequently,Almost never,Almost always,Almost never,Very infrequently,Somewhat frequently,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Very often or always,Very often or always,Very often or always,Very often or always,Very often or always,Very often or always,Very often or always,Very often or always,Sometimes,Very often or always,Very often or always,Very often or always,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Exactly true,Exactly true,Exactly true,Hardly true,Exactly true,Exactly true,Exactly true,Exactly true,Exactly true,Exactly true,Some of the time,A little of the time,Some of the time,A little of the time,A little of the time,A little of the time,None of the time,10,10,8,You were about average,27,2,1,1,1,1
47,51,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Very frequently,Somewhat frequently,Somewhat infrequently,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Very frequently,Very frequently,Somewhat frequently,Very frequently,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Often,Very rarely or never,Sometimes,Sometimes,Often,Agree,Agree,Slightly agree,Agree,Agree,Slightly agree,Slightly agree,Agree,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Exactly true,Rather true,Hardly true,Hardly true,Rather true,Hardly true,Hardly true,Rather true,Hardly true,Rather true,Some of the time,None of the time,None of the time,A little of the time,A little of the time,A little of the time,Some of the time,6,7,7,You were somewhat better than other workers,39,1,2,4,0,1
49,58,Very infrequently,Very infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Very frequently,Very infrequently,Very infrequently,Almost never,Very infrequently,Very infrequently,Almost never,Somewhat frequently,Somewhat infrequently,Very infrequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Very often or always,Sometimes,Often,Sometimes,Agree,Agree,Mixed or neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Agree,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Exactly true,Rather true,Rather true,Not true,Rather true,Rather true,Rather true,Rather true,Hardly true,Hardly true,Some of the time,A little of the time,A little of the time,A little of the time,A little of the time,None of the time,A little of the time,7,8,8,You were a little better than other workers,46,2,2,4,0,1
50,58,Somewhat infrequently,Almost never,Very infrequently,Somewhat infrequently,Somewhat infrequently,Very frequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Almost never,Very frequently,Somewhat infrequently,Almost never,Often,Often,Often,Very often or always,Sometimes,Often,Sometimes,Very often or always,Very often or always,Sometimes,Often,Sometimes,Agree,Agree,Slightly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Exactly true,Rather true,Rather true,Not true,Hardly true,Hardly true,Hardly true,Rather true,Rather true,Rather true,Some of the time,A little of the time,A little of the time,None of the time,A little of the time,None of the time,None of the time,7,8,7,You were about average,46,2,2,4,1,1
51,60,Very infrequently,Very infrequently,Very infrequently,Very frequently,Very infrequently,Very infrequently,Very infrequently,Somewhat infrequently,Very infrequently,Almost never,Almost never,Almost never,Somewhat frequently,Almost never,Almost never,Often,Sometimes,Often,Often,Very often or always,Often,Often,Very often or always,Sometimes,Often,Very often or always,Often,Strongly agree,Mixed or neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Rather true,Exactly true,Exactly true,Rather true,Hardly true,Rather true,Rather true,Rather true,Rather true,Rather true,Some of the time,Some of the time,A little of the time,None of the time,None of the time,A little of the time,None of the time,5,8,6,You were a little better than other workers,28,1,1,2,0,1
52,60,Somewhat infrequently,Very infrequently,Very infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Almost never,Somewhat infrequently,Somewhat infrequently,Almost never,Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Exactly true,Rather true,Exactly true,Hardly true,Exactly true,Exactly true,Exactly true,Exactly true,Rather true,Hardly true,Some of the time,Some of the time,A little of the time,A little of the time,A little of the time,A little of the time,None of the time,8,8,8,You were about average,28,1,1,2,1,1
53,62,Somewhat frequently,Somewhat infrequently,Very frequently,Somewhat infrequently,Almost always,Very frequently,Very infrequently,Very frequently,Somewhat infrequently,Somewhat infrequently,Very frequently,Almost never,Almost never,Very frequently,Almost never,Sometimes,Sometimes,Often,Sometimes,Often,Rarely,Rarely,Sometimes,Very rarely or never,Sometimes,Very often or always,Sometimes,Strongly disagree,Disagree,Mixed or neither agree nor disagree,Slightly disagree,Strongly agree,Disagree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Exactly true,Rather true,Hardly true,Hardly true,Rather true,Hardly true,Rather true,Rather true,Hardly true,Rather true,A little of the time,Most of the time,All of the time,All of the time,Most of the time,All of the time,All of the time,4,6,5,You were about average,31,2,2,1,0,1
54,61,Very infrequently,Somewhat infrequently,Somewhat frequently,Very frequently,Very frequently,Almost always,Somewhat infrequently,Somewhat infrequently,Very frequently,Somewhat infrequently,Very frequently,Very infrequently,Almost always,Very infrequently,Almost never,Sometimes,Rarely,Rarely,Rarely,Sometimes,Often,Rarely,Sometimes,Rarely,Sometimes,Very often or always,Rarely,Strongly disagree,Disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Slightly disagree,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Exactly true,Exactly true,Hardly true,Rather true,Rather true,Hardly true,Rather true,Rather true,Rather true,Exactly true,A little of the time,Most of the time,All of the time,All of the time,All of the time,All of the time,Most of the time,6,6,4,You were a little worse than other workers,31,2,2,1,1,1
55,64,Somewhat frequently,Somewhat infrequently,Somewhat frequently,Very frequently,Very frequently,Almost always,Very frequently,Very frequently,Somewhat frequently,Somewhat infrequently,Very frequently,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Somewhat infrequently,Often,Sometimes,Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Often,Agree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree,Slightly agree,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Rather true,Rather true,Rather true,Hardly true,Hardly true,Rather true,Rather true,Rather true,Rather true,Rather true,A little of the time,Some of the time,Some of the time,A little of the time,A little of the time,Some of the time,A little of the time,8,8,7,You were a little better than other workers,40,1,2,3,0,1
56,64,Somewhat infrequently,Very infrequently,Somewhat frequently,Very frequently,Somewhat frequently,Very frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Very frequently,Very infrequently,Somewhat infrequently,Somewhat frequently,Somewhat infrequently,Often,Often,Often,Very often or always,Often,Very often or always,Often,Very often or always,Often,Sometimes,Often,Often,Slightly agree,Agree,Agree,Slightly agree,Agree,Agree,Agree,Agree,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Rather true,Rather true,Rather true,Hardly true,Hardly true,Hardly true,Rather true,Rather true,Hardly true,Rather true,A little of the time,A little of the time,A little of the time,A little of the time,A little of the time,Some of the time,Some of the time,7,8,8,You were a little better than other workers,40,1,2,3,1,1
57,65,Very frequently,Somewhat frequently,Somewhat frequently,Very frequently,Somewhat frequently,Almost always,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Almost always,Somewhat frequently,Very frequently,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Mixed or neither agree nor disagree,Strongly agree,Agree,Slightly agree,Agree,Agree,Agree,Agree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Rather true,Rather true,Exactly true,Rather true,Rather true,Rather true,Exactly true,Rather true,Rather true,Exactly true,All of the time,A little of the time,None of the time,A little of the time,A little of the time,A little of the time,None of the time,6,10,10,You were a lot better than other workers,27,1,1,4,0,1
58,67,Somewhat frequently,Somewhat infrequently,Somewhat frequently,Somewhat frequently,Very frequently,Almost always,Very frequently,Very frequently,Very frequently,Somewhat infrequently,Almost always,Almost always,Very frequently,Very frequently,Very infrequently,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Often,Rarely,Rarely,Rarely,Slightly disagree,Disagree,Slightly disagree,Agree,Agree,Agree,Slightly agree,Slightly disagree,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Rather true,Exactly true,Rather true,Rather true,Rather true,Rather true,Hardly true,Rather true,Rather true,Hardly true,Some of the time,Some of the time,Most of the time,Some of the time,Some of the time,Most of the time,Some of the time,7,7,8,You were somewhat better than other workers,54,2,2,3,0,1
59,68,Very infrequently,Very infrequently,Very frequently,Very frequently,Very infrequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Very infrequently,Somewhat infrequently,Somewhat frequently,Almost never,Somewhat frequently,Very infrequently,Almost never,Often,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Rarely,Often,Sometimes,Rarely,Sometimes,Mixed or neither agree nor disagree,Agree,Slightly disagree,Agree,Strongly agree,Mixed or neither agree nor disagree,Strongly agree,Agree,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Exactly true,Exactly true,Rather true,Hardly true,Rather true,Rather true,Exactly true,Exactly true,Rather true,Rather true,Some of the time,Some of the time,A little of the time,A little of the time,Some of the time,Most of the time,None of the time,6,9,7,You were a little better than other workers,34,1,2,1,0,1
62,70,Almost never,Very infrequently,Somewhat frequently,Somewhat frequently,Almost never,Almost never,Somewhat infrequently,Very infrequently,Somewhat frequently,Somewhat frequently,Almost always,Almost never,Very frequently,Very infrequently,Very infrequently,Often,Often,Very often or always,Often,Very often or always,Often,Often,Often,Sometimes,Very often or always,Sometimes,Very often or always,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Exactly true,Rather true,Rather true,Rather true,Exactly true,Rather true,Exactly true,Exactly true,Rather true,Exactly true,Some of the time,Some of the time,None of the time,A little of the time,A little of the time,A little of the time,None of the time,7,7,8,You were a little better than other workers,20,1,1,4,0,1
63,71,Almost never,Somewhat infrequently,Almost always,Very frequently,Somewhat frequently,Somewhat infrequently,Somewhat frequently,Somewhat infrequently,Very infrequently,Somewhat infrequently,Very frequently,Very infrequently,Almost always,Very frequently,Very infrequently,Sometimes,Very rarely or never,Sometimes,Very rarely or never,Sometimes,Very rarely or never,Sometimes,Very rarely or never,Very rarely or never,Sometimes,Very rarely or never,Sometimes,Disagree,Agree,Disagree,Agree,Agree,Slightly disagree,Mixed or neither agree nor disagree,Agree,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Exactly true,Rather true,Hardly true,Rather true,Rather true,Rather true,Rather true,Hardly true,Hardly true,Not true,Some of the time,Some of the time,Some of the time,Some of the time,A little of the time,Some of the time,Most of the time,8,7,7,You were about average,19,2,1,2,0,1
65,73,Very frequently,Very infrequently,Somewhat infrequently,Somewhat infrequently,Very frequently,Almost always,Somewhat infrequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Very frequently,Somewhat frequently,Somewhat frequently,Often,Sometimes,Very often or always,Sometimes,Very often or always,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Slightly disagree,Agree,Agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Disagree,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Rather true,Rather true,Not true,Rather true,Exactly true,Hardly true,Rather true,Hardly true,Hardly true,Rather true,Some of the time,A little of the time,A little of the time,A little of the time,A little of the time,Some of the time,None of the time,8,7,6,You were a little worse than other workers,39,1,2,1,0,1
66,74,Somewhat frequently,Very infrequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Very frequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Often,Sometimes,Often,Rarely,Often,Often,Sometimes,Often,Often,Sometimes,Very often or always,Sometimes,Slightly agree,Mixed or neither agree nor disagree,Slightly agree,Slightly agree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Rather true,Rather true,Hardly true,Hardly true,Rather true,Rather true,Rather true,Hardly true,Rather true,Rather true,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,A little of the time,A little of the time,7,7,7,You were a little better than other workers,40,1,2,3,0,1
67,75,Somewhat frequently,Almost never,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Somewhat frequently,Very frequently,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Somewhat frequently,Almost never,Very frequently,Somewhat frequently,Very infrequently,Often,Very often or always,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Mixed or neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Exactly true,Rather true,Rather true,Hardly true,A little of the time,Some of the time,Most of the time,Most of the time,Most of the time,Most of the time,Some of the time,8,5,6,You were a little worse than other workers,26,2,1,1,0,1
69,76,Very frequently,Somewhat frequently,Very frequently,Somewhat frequently,Very infrequently,Very frequently,Somewhat frequently,Very frequently,Very frequently,Somewhat frequently,Somewhat infrequently,Very frequently,Very frequently,Somewhat frequently,Almost never,Sometimes,Rarely,Rarely,Rarely,Sometimes,Very rarely or never,Rarely,Very rarely or never,Rarely,Sometimes,Sometimes,Very rarely or never,Slightly disagree,Mixed or neither agree nor disagree,Disagree,Mixed or neither agree nor disagree,Disagree,Slightly disagree,Disagree,Slightly disagree,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Rather true,Rather true,Hardly true,Hardly true,Hardly true,Hardly true,Rather true,Rather true,Rather true,Rather true,Some of the time,Some of the time,Some of the time,Most of the time,Some of the time,Some of the time,Some of the time,7,6,3,You were about average,21,1,1,1,0,1
70,78,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Very frequently,Very frequently,Somewhat infrequently,Somewhat frequently,Somewhat infrequently,Very frequently,Somewhat frequently,Very frequently,Very infrequently,Almost always,Somewhat frequently,Somewhat infrequently,Often,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Rarely,Sometimes,Often,Often,Mixed or neither agree nor disagree,Slightly agree,Mixed or neither agree nor disagree,Slightly agree,Slightly agree,Agree,Mixed or neither agree nor disagree,Slightly disagree,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Exactly true,Exactly true,Hardly true,Rather true,Exactly true,Rather true,Not true,Hardly true,Hardly true,Hardly true,Some of the time,Some of the time,Some of the time,Some of the time,A little of the time,Some of the time,A little of the time,7,5,6,You were about average,29,1,2,3,0,1
71,78,Very infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Almost never,Somewhat infrequently,Almost never,Somewhat infrequently,Very infrequently,Very infrequently,Often,Often,Often,Sometimes,Often,Very often or always,Often,Sometimes,Sometimes,Often,Sometimes,Very often or always,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Exactly true,Exactly true,Exactly true,Rather true,Exactly true,Exactly true,Rather true,Rather true,Exactly true,Rather true,Some of the time,Some of the time,Some of the time,A little of the time,Most of the time,Some of the time,Some of the time,6,7,9,You were a little better than other workers,29,1,2,3,1,1
72,79,Very infrequently,Very infrequently,Somewhat frequently,Somewhat infrequently,Very infrequently,Somewhat frequently,Somewhat infrequently,Very infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Very infrequently,Very frequently,Somewhat infrequently,Somewhat infrequently,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Rarely,Sometimes,Sometimes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Rather true,Rather true,Rather true,Hardly true,Rather true,Hardly true,Hardly true,Hardly true,Hardly true,Hardly true,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,7,7,7,You were about average,44,1,2,2,0,1
73,79,Very infrequently,Almost never,Somewhat infrequently,Very infrequently,Very infrequently,Somewhat infrequently,Very infrequently,Very infrequently,Very infrequently,Almost never,Somewhat infrequently,Very infrequently,Somewhat frequently,Very infrequently,Almost never,Sometimes,Sometimes,Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Exactly true,Rather true,Rather true,Hardly true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Some of the time,A little of the time,A little of the time,Some of the time,A little of the time,A little of the time,Some of the time,7,7,7,You were somewhat better than other workers,44,1,2,2,1,1
74,81,Very frequently,Somewhat frequently,Very frequently,Very frequently,Somewhat frequently,Almost always,Very frequently,Very frequently,Very frequently,Very frequently,Somewhat frequently,Almost never,Very frequently,Somewhat frequently,Almost never,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Very often or always,Sometimes,Agree,Strongly agree,Slightly agree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Agree,Slightly disagree,Strongly agree,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Rather true,Rather true,Rather true,Hardly true,Hardly true,Hardly true,Rather true,Rather true,Hardly true,Exactly true,Some of the time,Some of the time,A little of the time,A little of the time,Some of the time,Some of the time,Some of the time,5,5,5,You were about average,41,1,2,4,0,1
75,81,Somewhat infrequently,Very infrequently,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Almost always,Somewhat infrequently,Somewhat frequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Almost never,Almost always,Somewhat infrequently,Almost never,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Slightly agree,Agree,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Rather true,Rather true,Rather true,Hardly true,Hardly true,Rather true,Rather true,Rather true,Rather true,Hardly true,Some of the time,Some of the time,None of the time,None of the time,A little of the time,None of the time,None of the time,5,5,5,You were about average,41,1,2,4,1,1
